customer_id,tenure_months,monthly_charges,contract,payment_method,support_tickets,has_streaming,last_login_days,refund_issued,Churn
100000,7,94.07,one-year,check,1,False,21.0,1,Yes
100001,55,51.88,one-year,bank,5,True,2.0,0,No
100002,47,48.66,month-to-month,check,1,True,4.0,0,No
100003,32,81.49,one-year,check,2,True,33.0,0,No
100004,31,94.71,one-year,check,0,False,,0,No
100005,61,71.01,month-to-month,paypal,1,False,12.0,0,No
100006,7,37.84,two-year,check,1,True,33.0,0,No
100007,50,35.99,month-to-month,check,2,True,10.0,1,Yes
100008,15,34.32,month-to-month,bank,0,True,4.0,0,No
100009,7,25.81,two-year,paypal,3,False,0.0,1,Yes
100010,38,72.74,month-to-month,bank,5,False,8.0,0,No
100011,70,98.13,two-year,check,2,True,,0,No
100012,53,69.66,month-to-month,paypal,6,False,3.0,1,Yes
100013,55,15.0,month-to-month,bank,0,False,5.0,0,No
100014,51,65.23,month-to-month,card,2,False,,0,No
100015,56,65.93,one-year,card,2,False,11.0,0,No
100016,37,122.4,one-year,card,2,True,,0,No
100017,10,33.57,two-year,card,3,True,0.0,0,No
100018,60,60.23,two-year,check,1,True,,0,No
100019,32,112.65,one-year,bank,0,False,1.0,0,No
100020,36,81.25,one-year,card,1,False,12.0,0,No
100021,27,84.08,month-to-month,card,2,True,5.0,1,Yes
100022,13,72.86,two-year,bank,4,False,37.0,0,No
100023,66,78.25,one-year,bank,0,False,12.0,0,No
100024,56,89.44,two-year,paypal,0,False,35.0,0,No
100025,46,49.76,month-to-month,check,3,False,12.0,0,No
100026,29,91.95,month-to-month,check,0,True,16.0,0,No
100027,59,35.67,one-year,check,2,False,0.0,0,No
100028,39,78.21,month-to-month,paypal,1,False,22.0,0,No
100029,32,74.47,month-to-month,bank,0,False,40.0,1,Yes
100030,32,54.59,two-year,card,1,False,26.0,0,No
100031,17,69.43,month-to-month,check,2,True,3.0,0,No
100032,7,54.44,month-to-month,card,1,False,15.0,1,Yes
100033,40,43.21,month-to-month,card,0,True,35.0,0,No
100034,64,61.16,month-to-month,paypal,3,False,15.0,0,No
100035,5,42.4,one-year,check,3,True,10.0,1,Yes
100036,61,78.07,two-year,check,1,True,15.0,0,No
100037,59,41.25,two-year,check,2,True,2.0,0,No
100038,20,87.8,one-year,check,3,False,7.0,1,Yes
100039,45,40.46,one-year,bank,2,False,17.0,0,No
100040,12,55.84,month-to-month,card,1,True,9.0,0,No
100041,54,54.38,two-year,bank,6,False,7.0,0,No
100042,50,103.13,month-to-month,paypal,0,True,9.0,0,No
100043,26,78.26,month-to-month,paypal,3,False,6.0,1,Yes
100044,5,64.71,two-year,card,1,True,24.0,0,No
100045,69,82.47,two-year,check,1,False,0.0,0,No
100046,32,17.32,month-to-month,bank,1,False,7.0,0,No
100047,64,68.92,one-year,check,1,False,2.0,0,No
100048,49,119.94,month-to-month,card,1,False,5.0,0,No
100049,56,73.31,month-to-month,card,1,False,,0,No
100050,54,71.7,month-to-month,card,2,True,14.0,0,No
100051,14,83.7,month-to-month,card,1,True,6.0,0,No
100052,26,92.39,month-to-month,card,0,True,24.0,1,Yes
100053,34,20.06,month-to-month,bank,1,False,27.0,0,No
100054,36,27.94,month-to-month,check,3,False,18.0,0,No
100055,4,75.26,month-to-month,paypal,1,False,17.0,0,No
100056,39,52.13,two-year,check,0,False,10.0,0,No
100057,11,102.8,one-year,card,3,True,,0,No
100058,53,62.12,two-year,bank,0,True,16.0,0,No
100059,49,21.64,month-to-month,bank,1,False,3.0,0,No
100060,66,38.3,one-year,card,2,True,11.0,0,No
100061,53,15.0,two-year,paypal,0,False,1.0,0,No
100062,27,64.15,month-to-month,check,1,True,10.0,0,No
100063,69,65.29,month-to-month,bank,0,True,3.0,0,No
100064,30,59.39,month-to-month,bank,2,True,13.0,0,No
100065,24,96.97,month-to-month,bank,1,False,12.0,1,Yes
100066,65,99.96,month-to-month,bank,2,True,9.0,0,No
100067,27,65.74,month-to-month,check,0,False,7.0,1,Yes
100068,6,16.63,month-to-month,paypal,2,True,2.0,0,No
100069,34,85.43,one-year,bank,4,False,9.0,0,No
100070,57,83.88,month-to-month,card,1,False,0.0,1,Yes
100071,14,77.73,month-to-month,paypal,2,False,5.0,1,Yes
100072,33,94.54,one-year,bank,4,True,6.0,1,Yes
100073,10,40.88,month-to-month,card,0,True,1.0,0,No
100074,49,120.22,month-to-month,check,1,False,3.0,0,No
100075,34,46.01,month-to-month,paypal,2,False,18.0,0,No
100076,24,88.73,month-to-month,bank,1,True,24.0,0,No
100077,17,27.82,month-to-month,bank,0,False,6.0,0,No
100078,41,46.74,month-to-month,bank,3,True,43.0,0,No
100079,48,107.91,month-to-month,paypal,0,False,4.0,1,Yes
100080,67,63.48,two-year,paypal,0,False,11.0,0,No
100081,32,91.0,two-year,paypal,0,True,1.0,0,No
100082,12,75.92,month-to-month,card,3,False,41.0,1,Yes
100083,60,67.38,month-to-month,paypal,1,False,8.0,1,Yes
100084,45,104.1,month-to-month,bank,2,False,6.0,1,Yes
100085,50,64.08,two-year,paypal,1,False,9.0,0,No
100086,7,25.48,two-year,paypal,3,False,,0,No
100087,23,49.92,month-to-month,check,1,False,21.0,0,No
100088,55,83.78,month-to-month,paypal,2,True,4.0,0,No
100089,60,79.89,month-to-month,card,2,False,3.0,0,No
100090,31,30.82,two-year,check,1,True,,0,No
100091,58,51.89,two-year,card,1,True,21.0,0,No
100092,60,55.46,month-to-month,check,0,False,2.0,0,No
100093,28,60.86,one-year,bank,2,True,3.0,0,No
100094,64,35.6,month-to-month,paypal,0,False,4.0,0,No
100095,21,54.29,one-year,bank,2,False,1.0,0,No
100096,18,51.78,two-year,paypal,1,True,5.0,0,No
100097,49,89.29,month-to-month,bank,0,True,15.0,0,No
100098,46,90.23,month-to-month,card,2,False,10.0,0,No
100099,10,66.35,one-year,check,1,False,6.0,0,No
100100,60,60.2,month-to-month,card,3,False,10.0,0,No
100101,15,73.5,two-year,check,2,True,,0,No
100102,58,49.59,month-to-month,bank,2,False,1.0,0,No
100103,1,41.33,two-year,paypal,1,True,5.0,0,No
100104,57,46.49,month-to-month,bank,1,True,5.0,0,No
100105,56,54.13,month-to-month,bank,2,False,,0,No
100106,56,40.91,month-to-month,check,2,True,0.0,0,No
100107,48,74.05,month-to-month,paypal,1,True,17.0,0,No
100108,34,88.24,month-to-month,card,2,True,3.0,1,Yes
100109,51,30.32,one-year,check,1,False,3.0,0,No
100110,20,70.63,month-to-month,bank,1,False,4.0,0,No
100111,56,64.5,month-to-month,paypal,1,False,6.0,1,Yes
100112,40,78.54,month-to-month,check,1,True,20.0,0,No
100113,33,69.68,month-to-month,paypal,3,False,1.0,1,Yes
100114,36,33.66,two-year,bank,1,False,2.0,0,No
100115,41,38.44,two-year,bank,1,True,24.0,0,No
100116,3,70.74,month-to-month,paypal,1,True,25.0,1,Yes
100117,10,95.72,one-year,card,2,True,17.0,0,No
100118,18,15.0,one-year,check,0,False,1.0,0,No
100119,9,78.64,two-year,paypal,2,False,5.0,0,No
100120,32,99.74,month-to-month,paypal,0,True,3.0,0,No
100121,48,66.17,month-to-month,check,0,True,0.0,0,No
100122,47,83.76,month-to-month,bank,2,False,4.0,0,No
100123,34,52.42,two-year,paypal,0,False,51.0,0,No
100124,61,67.02,one-year,card,1,True,8.0,0,No
100125,41,29.48,month-to-month,paypal,1,True,4.0,0,No
100126,6,15.0,month-to-month,card,4,False,2.0,0,No
100127,55,93.57,one-year,check,0,False,0.0,0,No
100128,41,45.38,two-year,bank,2,False,2.0,0,No
100129,46,58.61,month-to-month,paypal,1,False,1.0,0,No
100130,41,35.34,one-year,check,0,False,,0,No
100131,40,34.75,month-to-month,paypal,4,True,,0,No
100132,7,65.65,month-to-month,paypal,0,True,12.0,1,Yes
100133,40,51.76,month-to-month,paypal,2,True,29.0,0,No
100134,57,79.45,one-year,card,0,False,7.0,0,No
100135,22,81.31,two-year,bank,2,True,3.0,1,Yes
100136,43,78.02,month-to-month,bank,4,True,3.0,0,No
100137,3,75.97,month-to-month,card,3,True,13.0,0,No
100138,25,109.44,month-to-month,card,1,False,1.0,0,No
100139,32,43.31,month-to-month,card,5,False,1.0,0,No
100140,70,68.63,month-to-month,paypal,3,True,9.0,0,No
100141,16,98.32,month-to-month,bank,3,True,11.0,1,Yes
100142,20,101.61,month-to-month,paypal,0,False,21.0,1,Yes
100143,30,34.46,month-to-month,paypal,1,True,20.0,0,No
100144,71,62.19,month-to-month,card,1,False,2.0,0,No
100145,61,103.95,one-year,paypal,1,True,5.0,0,No
100146,3,82.7,month-to-month,card,0,False,0.0,1,Yes
100147,17,74.88,one-year,bank,1,False,2.0,0,No
100148,59,64.56,two-year,paypal,0,False,6.0,0,No
100149,5,60.4,one-year,bank,1,True,6.0,0,No
100150,61,77.21,month-to-month,paypal,1,True,4.0,0,No
100151,20,63.69,month-to-month,check,2,False,6.0,1,Yes
100152,66,68.94,one-year,card,1,False,6.0,0,No
100153,21,71.96,month-to-month,paypal,2,False,6.0,1,Yes
100154,31,53.05,month-to-month,card,4,False,24.0,0,No
100155,47,83.3,month-to-month,check,2,False,2.0,0,No
100156,9,142.86,month-to-month,bank,1,False,6.0,1,Yes
100157,40,25.58,month-to-month,card,1,False,7.0,0,No
100158,36,78.1,one-year,check,1,False,8.0,1,Yes
100159,56,51.0,month-to-month,bank,1,True,1.0,0,No
100160,71,84.44,month-to-month,card,3,True,29.0,1,Yes
100161,48,71.16,two-year,check,0,False,20.0,0,No
100162,30,89.05,month-to-month,card,1,True,5.0,1,Yes
100163,29,99.39,one-year,check,1,True,3.0,0,No
100164,30,74.81,month-to-month,card,6,True,,1,Yes
100165,58,98.3,month-to-month,paypal,4,False,18.0,1,Yes
100166,23,15.0,two-year,paypal,6,False,,0,No
100167,12,109.76,month-to-month,paypal,1,True,0.0,1,Yes
100168,24,79.38,month-to-month,paypal,1,True,1.0,0,No
100169,2,96.95,two-year,card,1,True,19.0,1,Yes
100170,8,39.5,one-year,check,3,True,17.0,0,No
100171,7,49.23,one-year,card,0,True,1.0,0,No
100172,55,73.65,month-to-month,card,4,True,34.0,0,No
100173,52,69.57,month-to-month,bank,4,False,42.0,0,No
100174,50,77.08,one-year,bank,0,False,,0,No
100175,33,97.11,month-to-month,bank,1,True,8.0,0,No
100176,51,25.87,month-to-month,card,2,True,,0,No
100177,12,94.35,one-year,bank,0,True,1.0,0,No
100178,64,70.21,month-to-month,card,2,True,22.0,0,No
100179,36,64.91,month-to-month,card,1,True,19.0,0,No
100180,67,33.22,month-to-month,bank,3,False,4.0,0,No
100181,11,82.58,month-to-month,card,1,False,26.0,0,No
100182,36,15.0,one-year,paypal,1,False,2.0,0,No
100183,50,86.21,two-year,paypal,0,True,2.0,0,No
100184,36,32.7,month-to-month,paypal,2,False,16.0,1,Yes
100185,32,71.34,month-to-month,card,0,False,11.0,0,No
100186,12,67.02,month-to-month,bank,1,True,4.0,0,No
100187,28,99.24,month-to-month,paypal,2,False,22.0,0,No
100188,17,65.53,month-to-month,check,1,True,,1,Yes
100189,22,52.65,two-year,bank,4,False,3.0,1,Yes
100190,49,57.33,month-to-month,paypal,5,True,18.0,1,Yes
100191,45,101.82,month-to-month,bank,1,False,10.0,1,Yes
100192,44,83.41,two-year,paypal,2,True,6.0,0,No
100193,26,60.36,month-to-month,card,3,False,16.0,1,Yes
100194,69,64.09,two-year,check,0,False,0.0,0,No
100195,7,30.82,month-to-month,card,1,False,2.0,0,No
100196,25,79.71,month-to-month,paypal,2,False,8.0,1,Yes
