sqft,bedrooms,age_years,neighborhood,garage,lot_size,SalePrice
1701.0,4,6,east,True,4728.0,270200.0
1452.0,3,34,east,True,5761.0,203400.0
1825.0,4,95,center,True,5758.0,319400.0
2570.0,4,45,south,False,10181.0,279100.0
1163.0,1,41,center,False,5980.0,240600.0
2318.0,3,0,center,True,,454900.0
1929.0,2,66,center,True,3704.0,338700.0
2024.0,5,18,east,True,4056.0,323000.0
1782.0,3,68,center,True,4632.0,312100.0
1370.0,1,82,east,True,6723.0,136600.0
2067.0,4,77,south,True,3152.0,224900.0
2111.0,3,51,center,True,4668.0,403300.0
1320.0,2,65,center,True,2278.0,228200.0
997.0,3,39,north,False,,153700.0
1851.0,2,70,south,True,6213.0,191900.0
2253.0,4,68,south,True,6621.0,230500.0
2403.0,4,18,center,False,,453500.0
2522.0,4,32,south,False,8323.0,340900.0
2023.0,2,77,west,True,9006.0,277900.0
1642.0,3,43,center,True,6134.0,321500.0
1799.0,2,23,center,False,5042.0,364100.0
1054.0,2,99,center,False,7104.0,121400.0
1390.0,2,86,east,True,7470.0,78300.0
1768.0,3,77,west,False,7741.0,212400.0
1640.0,2,42,west,True,7328.0,175000.0
1855.0,4,55,south,True,7928.0,217100.0
975.0,2,94,east,False,,106300.0
1109.0,1,52,east,True,7824.0,106000.0
2265.0,3,82,center,True,5092.0,394100.0
1300.0,1,84,east,False,,97900.0
1394.0,3,80,east,True,5074.0,150800.0
1857.0,4,60,east,False,,235800.0
1241.0,3,34,north,False,6482.0,167100.0
2464.0,4,33,south,False,7676.0,330600.0
1046.0,2,81,center,False,,224600.0
1801.0,4,41,north,False,10017.0,314100.0
1351.0,2,24,west,True,,190700.0
1894.0,3,18,center,False,2025.0,381100.0
1502.0,2,61,west,True,6556.0,173700.0
1786.0,3,95,west,False,4910.0,193500.0
2533.0,5,37,west,True,3829.0,399300.0
1388.0,2,65,north,False,5405.0,212100.0
1383.0,2,30,north,True,4433.0,185000.0
1610.0,3,39,center,True,4630.0,319000.0
2684.0,5,40,east,False,9045.0,403200.0
1746.0,2,35,east,True,6249.0,222100.0
2541.0,3,84,north,True,,361800.0
1694.0,2,90,west,False,,209500.0
2514.0,4,26,north,True,5409.0,432100.0
2044.0,4,36,north,True,3540.0,339200.0
2133.0,3,1,south,True,3347.0,292500.0
939.0,2,75,center,False,5840.0,149900.0
850.0,3,70,center,True,2715.0,124200.0
2442.0,4,83,north,True,3655.0,328600.0
2435.0,5,55,north,False,5237.0,343900.0
3253.0,5,90,center,False,8264.0,626600.0
908.0,1,14,west,False,8584.0,132700.0
2091.0,4,37,west,True,7319.0,315400.0
1186.0,2,44,east,False,5992.0,123100.0
